"Number","Word","Transliteration","Grammar","Russian","Example"
253,题,tí,сущ.,задание или вопрос на экзамене,这个~我不会做。
254,跳舞,tiàowǔ,гл.,танцевать,"妹妹会唱歌,也会~。"
255,外,wài,сущ.,"снаружи, вне",~面下雨了。
"",,сущ.,"за пределами, извне",那些学生是~校的。,
256,完,wán,гл.,"закончить, ставится после глагола, показывает,
что действие завершено",这本书我看~了。
257,玩,wán,гл.,"играть, развлекаться","他在~,没有学习。"
258,晚上,wǎnshɑng,сущ.,вечер,今天~我不能看电视了。
259,为什么,wèi shénme,,почему,你~不喝点儿水呢?
260,问,wèn,гл.,спрашивать,"老师,我可以~你一个问题吗?"
261,问题,wèntí,сущ.,вопрос,这个~太难了!
262,西瓜,xīguā,сущ.,арбуз,请吃块儿~。
263,希望,xīwàng,гл.,надеяться,我~你别走了。
"",,сущ.,надежда,孩子是爸爸、妈妈的~。,
264,洗,xǐ,гл.,стирать,今天我要~很多衣服。
"",,гл.,печатать (фотографию),照片要三天才能~出来。,
265,小时,xiǎoshí,сущ.,час,我看了一~的书。
266,笑,xiào,гл.,"смеяться, улыбаться","听到他这么说,我们都~了。"
267,新,xīn,прил.,новый,这是我买的~衣服。
268,姓,xìng,сущ.,фамилия,中国人的~在名字的前面。
"",,гл.,носить фамилию,我~张。,
269,休息,xiūxi,гл.,отдыхать,"太累了,让我~一下。"
270,雪,xuě,сущ.,снег,今年冬天下了几次大~。
271,颜色,yánsè,сущ.,цвет,你喜欢哪种~?
272,眼睛,yǎnjing,сущ.,глаза,我的~是黑色的。
273,羊肉,yángròu,сущ.,баранина,有些人不爱吃~。
274,药,yào,сущ.,лекарство,这个~一天吃三次。
275,要,yào,всп. гл.,собираться что-либо сделать,我~去北京。
"",,гл.,"хотеть чего-либо от кого-либо, требовать",妈妈~我去买菜。,
"",,всп. гл.,"следует, надо",你~认真地做这件事。,
"",,всп. гл.,скоро будет,~下雨了。,
"",,гл.,требуется,一斤菜~两块钱。,
276,也,yě,нар.,тоже,"你去,我~去。"
277,一下,yíxià,сч. сл,"обозначает разовое или непродолжительное
действие",请等我~。
278,一起,yìqǐ,нар.,вместе,我和你~去北京。
279,已经,yǐjīng,нар.,уже,我们~吃完饭了。
280,意思,yìsi,сущ.,смысл,这个词是什么~?
сущ.,намерение,把你的~告诉我吧。,,,
"",,,сущ.,интересное,这个电影真有~。
281,"因为......
所以......",yīnwèi...suǒyǐ...,союз,"так как...., поэтому; обозначает
причинно-следственную связь","~下雨了,~我没去跑步。"
282,阴,yīn,прил.,пасмурный,今天是~天。
283,游泳,yóuyǒng,гл.,плавать,我会~了。
284,右边,yòubiɑn,сущ.,справа,王医生~那个人是谁?
285,鱼,yú,сущ.,рыба,水里有很多~。
286,远,yuǎn,прил.,далекий,我家离公司很~。
287,运动,yùndòng,гл.,"заниматься спортом, двигаться",我们都很喜欢~。
288,再,zài,нар.,еще раз,我吃完饭~去商店。
"",,,нар.,еще более,"~高点儿,现在太低了。"
289,早上,zǎoshɑng,сущ.,утром,我~看见过他。
290,丈夫,zhàngfu,сущ.,муж,我~在医院工作。
291,找,zhǎo,гл.,искать,他想~一个工作。
292,着,zhe,служ.,"ставится после глагола и обозначает, что
действие или состояние продолжается","他笑~说:“你不认识我,但是我认识你。”"
293,真,zhēn,нар.,"действительно, обозначает восклицание",这个人~高。
294,正在,zhèngzài,нар.,"обозначает, что действие или состояние
происходит в настоящее время",弟弟~打篮球。
295,知道,zhīdào,гл.,знать,我不~他现在在哪里。
296,准备,zhǔnbèi,гл.,намереваться,我~星期日去北京。
сущ.,готовиться,我在为考试做~。,,,
297,自行车,zìxíngchē,сущ.,велосипед,这是我新买的~。
298,走,zǒu,гл.,"идти, ходить",我女儿 9 个月就会~了。
"",,гл.,"уйти, уехать","我~了,再见!",
299,最,zuì,нар.,самый,她是我~好的朋友。
300,左边,zuǒbiɑn,сущ.,слева,"~的那个杯子是你的,右边的是我的。"
